orgNo,partyId,partyUuid,orgForm
212897612,51146001,6db0c69e-db9a-463d-bb52-c6e66658742e,AS
214020092,51156739,921ac0ea-eb0b-4996-83eb-e1f9b5d971d0,ENK
214210762,51158537,740e3054-4b57-4a59-9679-66e9a0560142,AS
310029750,51177925,5f27d80a-ba52-4bac-b11b-ef1c58bbfa1e,AS
310312533,51213487,376322e0-d6b6-40d1-83fd-49b00199edf0,ENK
310410284,51222249,57eacd1d-beed-4376-a34f-373177b9b57a,AS
310428485,51223872,5315b8ed-eab4-4243-a516-25e480f6096f,ENK
310682217,51246492,99fc0974-dd06-47e1-8eb0-08295a878dc4,ENK
310764981,51253827,0a9e528f-224c-4aae-ad81-54f70bb043d5,ENK
310832413,51259822,04609d6d-ed59-4655-b532-e9cf4b550f54,AS
310951242,51270332,7e270e13-bea1-49b6-b976-be08c53a0874,ENK
311012665,51275809,e244c5be-4118-4aeb-bd26-71d9f6155baf,ENK
311013289,51275863,4ad41f16-d0b9-4aae-a788-39b934bc1573,ENK
311057952,51279860,f9025fbf-6e4a-49f4-b4ae-e2bcd22e97cb,ENK
311190741,51291658,9c199618-8d29-4eb0-972b-cc7baecc5f5d,AS
311733974,51362603,630c9b8d-ae3d-47b3-b5e1-461e4eb5aad3,ENK
311782630,51318852,15add8e1-df40-4d96-88ce-66138e887a35,AS
311800515,51367873,8034299e-bb9a-4b89-938a-3c1f554eb9ee,AS
311814885,51334138,a956764b-ea16-471c-97f8-1b9d65c6312d,AS
312399121,51303069,8583b863-568d-4330-86e0-3cf11a73542d,ENK
312440008,51180904,23820f47-cf69-46a5-822f-f7483699e33a,AS
312528991,51444183,51b55055-3106-4a7f-97ce-dcf27e5f66c0,ENK
312536102,51444699,7aee77af-15be-49ce-9428-005c4de9afd8,AS
312628082,51451237,e6331355-0460-4660-9cd0-8bf8987524ac,ENK
312697408,51349844,cdd2a5d3-fca5-440c-99e4-809a3f0e31e1,AS
312721295,51339845,cd49f88f-e93d-4e28-807c-f5f45680f40c,ENK
313052257,51165898,f1f59f21-52c3-4f32-aac4-9e7ce07e5373,AS
313166481,51161295,9ee6dba7-57cf-44c5-a887-f0529d819f75,AS
313176029,51352920,5d3444cf-9726-4563-af70-2491c5ae6da0,AS
313358739,51502456,8c8b4bb3-db47-4215-900f-d27dfa94de93,ENK
313523799,51513937,d8924da4-15c0-4989-9c6e-401edd7214ee,AS
313613461,51520210,a423be2f-7c32-4b84-bc1f-d5b6b7ec3caa,ENK
313841901,51536042,be2e1e4d-b200-43e5-a5c9-aa3494b460a0,AS
313893715,51539658,8be903a1-5a81-44d9-9c7f-ffd62a3ae858,AS
314017293,51548253,52212204-386a-4083-a576-de8d1ececcbe,ENK
314049837,51550507,5e3139aa-8b67-4e1f-bf1f-0fe251dff6c5,ENK
314215818,51562033,bebbb1d1-5ca6-41f2-99aa-1770f7c46eb7,ENK
314227719,51562868,c97e9b84-28a7-4c92-8c3d-ad6da83ffc17,ENK
314248562,51120142,184c0e60-e60a-4a5c-880e-56addde49aac,AS
314264835,51387936,a189904c-7a94-4977-a8ef-139577ac2f75,AS
